customer_id,due_date,paid_date,amount_due,amount_paid,region,risk_score,product_type
C00034,2025-01-14,2025-01-16,384,373,West,0.12,Credit Line
C00035,2025-02-10,2025-02-12,579,554,South,0.42,Credit Line
C00036,2024-12-12,2024-12-14,999,982,East,0.42,Loan B
C00037,2025-03-25,2025-03-26,807,789,West,0.26,Loan B
C00038,2025-04-05,2025-04-10,238,237,East,0.86,Loan B
C00039,2024-10-20,2024-10-24,105,70,West,0.93,Loan C
C00040,2025-03-15,2025-03-15,936,909,East,0.49,Loan C
C00041,2025-03-24,2025-03-25,413,394,East,0.76,Loan B
C00042,2024-11-19,2024-11-21,132,132,North,0.34,Loan B
C00043,2025-03-03,2025-03-05,290,249,North,0.4,Loan A
C00044,2025-01-09,2025-01-09,152,152,South,0.51,Loan C
C00045,2024-12-24,2024-12-26,546,538,North,0.44,Loan A
C00046,2024-12-11,2024-12-13,331,284,North,0.91,Loan A
C00047,2024-11-18,2024-11-21,298,291,North,0.29,Loan C
C00048,2024-11-29,2024-11-30,918,894,South,0.12,Loan B
C00049,2025-03-16,2025-03-16,938,927,East,0.28,Loan C
C00050,2024-12-23,2024-12-25,981,978,South,0.89,Loan A
C00051,2024-11-07,2024-11-09,430,425,South,0.51,Loan C
C00052,2024-11-06,2024-11-07,952,904,North,0.77,Loan C
C00053,2024-12-31,2025-01-03,506,478,South,0.79,Credit Line
C00054,2024-11-06,2024-11-08,848,818,West,0.27,Loan A
C00055,2024-12-27,2024-12-30,199,159,East,0.97,Loan B
C00056,2025-04-01,2025-04-03,112,102,East,0.71,Loan A
C00057,2024-12-24,2024-12-24,92,70,North,0.59,Loan C
C00058,2025-02-13,2025-02-15,637,592,East,0.78,Credit Line
C00059,2024-12-09,2024-12-10,531,506,North,0.13,Loan A
C00060,2025-03-24,2025-03-25,857,840,South,0.66,Loan A
C00061,2024-10-27,2024-10-30,435,403,West,0.81,Loan C
C00062,2025-03-09,2025-03-10,614,581,East,0.74,Loan B
C00063,2025-01-16,2025-01-20,157,115,East,0.35,Loan B
C00064,2025-01-31,2025-02-02,593,549,East,0.61,Loan B
C00065,2024-11-12,2024-11-12,294,255,West,0.93,Loan C
C00066,2025-04-16,2025-04-20,946,919,West,0.97,Loan B
C00067,2024-12-31,2025-01-05,778,731,North,0.84,Loan C
C00068,2024-11-03,2024-11-05,304,286,North,0.72,Loan B
C00069,2025-02-03,2025-02-03,343,342,South,0.46,Loan B
C00070,2024-12-14,2024-12-14,862,823,South,0.11,Loan B
C00071,2025-03-29,2025-03-30,181,139,North,0.88,Credit Line
C00072,2025-02-18,2025-02-19,890,848,West,0.76,Credit Line
C00073,2025-02-16,2025-02-18,643,635,West,0.33,Loan C
C00074,2025-04-08,2025-04-10,90,74,South,0.22,Loan C
C00075,2025-04-04,2025-04-09,609,574,East,0.72,Loan A
C00076,2024-12-28,2024-12-29,444,424,South,0.79,Credit Line
C00077,2025-02-08,2025-02-10,494,456,West,0.46,Loan A
C00078,2024-11-25,2024-11-29,119,102,South,0.3,Loan A
C00079,2025-03-04,2025-03-05,302,291,South,0.67,Loan C
C00080,2024-11-01,2024-11-03,769,720,North,0.22,Credit Line
C00081,2024-10-27,2024-10-28,697,659,East,0.3,Credit Line
C00082,2025-02-24,2025-02-28,708,671,South,0.56,Credit Line
C00083,2024-12-02,2024-12-07,694,687,East,0.87,Loan A
C00084,2025-03-18,2025-03-20,940,917,West,0.64,Loan B
C00085,2024-12-14,2024-12-15,281,260,South,0.93,Loan C
C00086,2024-11-03,2024-11-06,267,241,North,0.91,Loan B
C00087,2025-04-03,2025-04-05,778,763,West,0.21,Loan A
C00088,2024-12-03,2024-12-08,330,290,East,0.39,Loan B
C00089,2025-04-05,2025-04-10,698,686,North,0.29,Loan C
C00090,2024-11-07,2024-11-12,148,110,North,0.81,Credit Line
C00091,2024-12-31,2025-01-01,754,712,North,0.14,Loan C
C00092,2024-12-11,2024-12-11,992,960,East,0.93,Loan B
C00093,2025-01-15,2025-01-16,627,620,West,0.57,Loan C
C00094,2025-02-19,2025-02-21,93,57,South,0.36,Loan B
C00095,2025-03-29,2025-03-30,987,940,North,0.76,Credit Line
C00096,2024-12-28,2024-12-28,330,300,South,0.8,Credit Line
C00097,2024-11-19,2024-11-21,814,778,West,0.84,Loan B
C00098,2024-12-29,2024-12-31,149,115,East,0.59,Loan C
C00099,2024-12-26,2024-12-27,277,240,West,0.74,Loan C
C00100,2024-11-28,2024-11-28,189,147,West,0.28,Credit Line
C00101,2025-02-26,2025-03-01,334,326,North,0.32,Loan B
C00102,2024-12-09,2024-12-12,445,402,East,0.2,Credit Line
C00103,2025-03-04,2025-03-05,940,904,East,0.84,Loan B
C00104,2025-04-18,2025-04-18,689,651,East,0.21,Loan A
C00105,2025-02-28,2025-02-28,510,466,South,0.52,Loan A
C00106,2025-02-21,2025-02-25,294,249,East,0.48,Loan A
C00107,2024-11-01,2024-11-02,760,747,North,0.95,Credit Line
C00108,2025-02-14,2025-02-17,728,704,South,0.24,Loan B
C00109,2025-02-19,2025-02-23,775,775,South,0.78,Loan C
C00110,2024-11-21,2024-11-22,104,58,West,0.57,Loan B
C00111,2025-01-30,2025-01-31,762,760,West,0.59,Loan B
C00112,2025-03-09,2025-03-09,344,334,South,0.86,Loan A
C00113,2024-12-05,2024-12-05,529,519,East,0.57,Loan A
C00114,2024-11-19,2024-11-19,767,743,North,0.91,Loan A
C00115,2025-01-16,2025-01-19,741,705,West,0.35,Loan B
C00116,2024-12-31,2025-01-02,206,158,West,0.28,Loan A
C00117,2024-12-10,2024-12-12,731,710,South,0.47,Credit Line
C00118,2025-04-16,2025-04-17,189,142,East,0.32,Loan C
C00119,2025-02-20,2025-02-22,592,551,East,0.65,Loan A
C00120,2025-03-01,2025-03-03,983,963,North,0.95,Loan C
C00121,2025-02-04,2025-02-04,980,952,West,0.35,Loan C
C00122,2024-11-30,2024-12-01,803,778,East,0.46,Loan B
C00123,2025-02-28,2025-03-03,679,653,West,0.86,Loan A
C00124,2024-12-20,2024-12-24,165,153,East,0.78,Loan C
C00125,2025-03-31,2025-04-03,744,724,North,0.8,Loan C
C00126,2025-03-17,2025-03-17,832,784,South,0.21,Loan C
C00127,2025-03-18,2025-03-18,193,193,North,0.64,Loan B
C00128,2024-10-29,2024-10-29,452,442,West,0.58,Credit Line
C00129,2024-12-02,2024-12-03,747,714,West,0.35,Credit Line
C00130,2025-03-27,2025-03-29,641,635,West,0.59,Loan B
C00131,2024-10-25,2024-10-27,270,269,South,0.61,Credit Line
C00132,2025-03-24,2025-03-29,206,199,North,0.55,Credit Line
C00133,2024-12-19,2024-12-20,782,754,West,1.0,Credit Line
C00134,2025-01-04,2025-01-07,975,975,West,0.73,Loan A
C00135,2024-12-09,2024-12-13,873,839,North,0.57,Loan A
C00136,2024-10-31,2024-11-02,742,735,South,0.96,Credit Line
C00137,2024-11-28,2024-12-01,970,941,North,0.82,Loan B
C00138,2025-04-14,2025-04-16,377,358,West,0.68,Loan A
C00139,2025-02-06,2025-02-07,447,445,West,0.52,Loan B
C00140,2025-04-07,2025-04-11,579,532,North,0.23,Loan A
C00141,2025-03-07,2025-03-08,313,310,South,0.98,Credit Line
C00142,2024-12-19,2024-12-22,940,914,East,0.13,Credit Line
C00143,2024-11-29,2024-11-30,549,511,South,0.65,Loan B
C00144,2025-02-23,2025-02-24,465,454,West,0.56,Loan C
C00145,2025-01-23,2025-01-26,872,864,South,0.48,Loan A
C00146,2025-01-03,2025-01-03,408,384,North,0.96,Loan B
C00147,2025-04-08,2025-04-09,275,259,East,0.28,Loan A
C00148,2025-04-14,2025-04-15,418,393,East,0.32,Loan A
C00149,2025-02-20,2025-02-20,704,698,North,0.83,Credit Line
C00150,2025-01-16,2025-01-17,323,292,South,0.39,Credit Line
C00151,2024-11-15,2024-11-17,445,445,West,0.95,Loan B
C00152,2024-12-09,2024-12-09,63,38,East,0.18,Loan A
C00153,2024-11-15,2024-11-18,363,343,South,0.66,Loan C
C00154,2024-12-05,2024-12-09,152,124,East,0.27,Loan C
C00155,2025-03-12,2025-03-16,132,92,North,0.75,Loan B
C00156,2025-02-05,2025-02-06,452,442,North,0.72,Loan B
C00157,2025-01-31,2025-02-01,87,81,South,0.29,Loan B
C00158,2024-12-09,2024-12-09,625,578,East,0.46,Credit Line
C00159,2025-03-13,2025-03-13,608,575,North,0.46,Credit Line
C00160,2025-02-09,2025-02-13,117,92,North,0.4,Credit Line
C00161,2025-01-10,2025-01-12,973,935,North,0.33,Loan A
C00162,2025-04-11,2025-04-12,523,489,East,0.18,Loan C
C00163,2025-02-09,2025-02-10,710,700,North,0.19,Loan A
C00164,2025-01-04,2025-01-07,341,333,West,0.69,Credit Line
C00165,2024-12-28,2025-01-01,769,733,West,0.73,Loan A
C00166,2024-11-30,2024-12-04,307,262,North,1.0,Credit Line
C00167,2024-11-14,2024-11-17,578,571,North,0.22,Loan B
C00168,2025-01-25,2025-01-27,972,949,East,0.37,Loan A
C00169,2025-01-22,2025-01-24,932,895,North,0.95,Loan A
C00170,2024-11-05,2024-11-05,475,431,North,0.94,Loan A
C00171,2025-03-14,2025-03-18,568,533,West,0.21,Loan A
C00172,2024-10-28,2024-10-30,514,474,East,0.76,Loan A
C00173,2025-04-04,2025-04-09,626,577,South,0.7,Loan C
C00174,2024-11-09,2024-11-11,920,887,West,0.39,Loan C
C00175,2024-11-17,2024-11-17,605,582,West,0.83,Loan A
C00176,2025-02-17,2025-02-20,707,691,North,0.67,Loan C
C00177,2024-11-19,2024-11-24,720,708,North,0.66,Credit Line
C00178,2025-03-21,2025-03-22,256,255,South,0.23,Loan B
C00179,2025-02-28,2025-02-28,177,138,South,0.46,Credit Line
C00180,2025-01-08,2025-01-16,532,507,South,0.51,Loan B
C00181,2025-02-11,2025-02-12,128,81,East,1.0,Credit Line
C00182,2024-10-31,2024-11-02,359,349,East,0.94,Loan B
C00183,2025-01-01,2025-01-04,731,695,West,0.83,Loan C
C00184,2025-01-01,2025-01-05,252,216,North,0.21,Loan A
C00185,2025-02-11,2025-02-14,258,228,South,0.77,Loan C
C00186,2025-01-17,2025-01-17,883,851,South,0.72,Loan A
C00187,2025-01-29,2025-01-29,908,894,West,0.3,Loan C
C00188,2024-12-06,2024-12-09,187,150,North,0.53,Loan A
C00189,2025-02-03,2025-02-04,697,684,North,0.53,Loan C
C00190,2025-04-04,2025-04-06,888,881,South,0.52,Loan A
C00191,2024-10-21,2024-10-24,54,11,South,0.55,Credit Line
C00192,2025-02-28,2025-03-05,506,464,South,0.78,Loan C
C00193,2025-03-07,2025-03-09,59,52,North,0.72,Loan A
C00194,2024-11-10,2024-11-13,651,644,West,0.91,Credit Line
C00195,2025-02-28,2025-03-02,330,291,South,0.56,Loan C
C00196,2025-04-08,2025-04-08,697,696,West,0.47,Loan B
C00197,2025-01-31,2025-01-31,800,768,East,0.89,Loan C
C00198,2025-03-13,2025-03-14,104,57,North,0.7,Loan C
C00199,2024-12-09,2024-12-10,975,950,West,0.28,Loan B
C00200,2025-03-17,2025-03-20,680,645,West,0.81,Loan C
C00201,2025-02-20,2025-02-21,740,704,West,0.37,Loan B
C00202,2024-12-24,2024-12-24,170,136,West,0.31,Loan C
C00203,2024-11-09,2024-11-10,79,39,West,0.16,Loan A
C00204,2024-12-14,2024-12-15,59,29,North,0.43,Loan B
C00205,2025-01-11,2025-01-11,414,369,South,0.62,Loan C
C00206,2024-11-18,2024-11-19,675,644,North,0.94,Credit Line
C00207,2025-01-15,2025-01-17,605,571,South,0.73,Loan B
C00208,2024-10-19,2024-10-19,188,142,North,0.2,Loan A
C00209,2025-03-08,2025-03-10,607,599,South,0.79,Credit Line
C00210,2025-04-07,2025-04-09,94,46,West,0.66,Loan B
C00211,2025-03-07,2025-03-10,554,513,South,0.27,Loan B
C00212,2024-12-09,2024-12-10,344,310,West,0.24,Loan B
C00213,2025-01-24,2025-01-26,228,189,South,0.89,Loan B
C00214,2025-03-15,2025-03-17,499,497,South,0.9,Loan A
C00215,2024-11-22,2024-11-25,752,730,West,0.34,Loan A
C00216,2025-01-25,2025-01-26,712,667,West,0.59,Loan C
C00217,2025-04-14,2025-04-16,566,562,East,0.51,Loan B
C00218,2024-11-08,2024-11-09,937,922,East,0.82,Loan C
C00219,2025-04-06,2025-04-06,721,718,North,0.62,Loan B
C00220,2025-02-17,2025-02-18,433,396,South,0.41,Loan B
C00221,2024-12-15,2024-12-16,480,447,West,0.87,Credit Line
C00222,2025-03-31,2025-04-05,226,209,East,0.53,Loan C
C00223,2025-02-20,2025-02-23,783,759,East,0.46,Loan B
C00224,2025-01-25,2025-01-25,139,95,East,1.0,Loan C
C00225,2025-02-14,2025-02-15,314,265,North,0.77,Loan C
C00226,2024-11-26,2024-11-28,104,62,East,0.89,Loan A
C00227,2024-11-17,2024-11-20,445,438,East,0.98,Loan A
C00228,2024-12-30,2024-12-31,941,927,West,0.56,Loan B
C00229,2025-03-16,2025-03-17,880,849,North,0.42,Credit Line
C00230,2024-11-19,2024-11-20,696,681,West,0.16,Loan C
C00231,2025-01-31,2025-02-01,78,70,North,0.95,Loan B
C00232,2025-03-19,2025-03-22,732,709,North,0.6,Loan A
C00233,2025-04-16,2025-04-20,953,922,East,0.58,Loan A
C00234,2025-01-29,2025-01-30,629,614,East,0.83,Loan B
C00235,2025-04-15,2025-04-18,392,359,North,0.43,Credit Line
C00236,2024-10-19,2024-10-21,753,744,North,0.24,Loan B
C00237,2025-02-12,2025-02-14,292,270,West,0.28,Loan B
C00238,2024-12-20,2024-12-20,78,63,North,0.31,Credit Line
C00239,2025-01-21,2025-01-23,737,691,East,0.27,Loan C
C00240,2024-10-22,2024-10-23,216,173,East,0.81,Loan C
C00241,2024-11-09,2024-11-10,994,991,South,0.81,Loan C
C00242,2025-04-17,2025-04-18,445,399,East,0.26,Loan C
C00243,2024-12-28,2024-12-28,125,102,East,0.33,Loan A
C00244,2025-04-07,2025-04-10,259,257,West,0.94,Loan B
C00245,2025-03-29,2025-04-02,774,761,North,0.65,Credit Line
C00246,2025-03-24,2025-03-28,260,215,East,0.44,Loan B
C00247,2024-12-17,2024-12-19,629,602,North,0.63,Credit Line
C00248,2024-12-04,2024-12-04,488,448,South,0.38,Loan A
C00249,2024-10-30,2024-11-02,995,994,East,0.78,Loan A
C00250,2024-12-04,2024-12-06,811,772,South,0.41,Loan C
C00251,2025-04-07,2025-04-08,453,451,South,0.2,Loan B
C00252,2025-02-06,2025-02-08,385,356,West,0.66,Loan A
C00253,2024-11-03,2024-11-06,419,415,North,0.22,Credit Line
C00254,2024-11-04,2024-11-06,567,553,South,0.89,Loan C
C00255,2025-03-10,2025-03-12,135,133,West,0.34,Loan A
C00256,2025-01-21,2025-01-25,868,819,West,0.79,Loan B
C00257,2025-03-26,2025-03-26,810,785,North,0.53,Loan A
C00258,2024-11-01,2024-11-04,905,860,North,0.85,Loan C
C00259,2025-03-15,2025-03-20,920,898,South,0.45,Loan A
C00260,2025-01-30,2025-01-31,982,968,West,0.32,Loan C
C00261,2025-03-16,2025-03-17,977,962,West,0.93,Loan C
C00262,2024-11-12,2024-11-15,914,906,West,0.13,Loan A
C00263,2024-11-12,2024-11-13,760,713,South,0.35,Loan A
C00264,2025-02-24,2025-02-25,493,488,North,0.24,Credit Line
C00265,2025-01-19,2025-01-21,602,592,West,0.45,Loan A
C00266,2025-02-02,2025-02-04,654,642,East,0.4,Loan C
C00267,2024-11-20,2024-11-23,975,971,East,0.97,Credit Line
C00268,2024-12-09,2024-12-10,68,28,West,0.3,Loan C
C00269,2025-01-29,2025-02-01,126,103,East,0.12,Loan C
C00270,2025-04-06,2025-04-08,291,259,North,1.0,Loan A
C00271,2025-02-13,2025-02-15,71,58,West,0.45,Loan B
C00272,2025-01-09,2025-01-15,536,492,South,0.43,Loan B
C00273,2024-11-29,2024-12-02,621,577,East,0.7,Loan B
C00274,2025-04-17,2025-04-20,974,974,West,0.51,Credit Line
C00275,2025-01-31,2025-02-02,91,63,North,0.92,Loan C
C00276,2025-03-14,2025-03-18,743,737,North,0.47,Loan C
C00277,2025-03-09,2025-03-09,611,597,North,0.6,Loan A
C00278,2025-03-01,2025-03-03,579,558,East,0.44,Loan A
C00279,2024-11-27,2024-11-28,57,57,South,0.21,Loan A
C00280,2025-03-06,2025-03-09,174,158,East,0.83,Credit Line
C00281,2024-12-18,2024-12-20,824,808,East,0.92,Credit Line
C00282,2025-01-04,2025-01-05,490,477,North,0.51,Loan B
C00283,2025-02-26,2025-02-27,598,581,East,0.68,Loan B
C00284,2025-02-22,2025-02-25,467,427,South,0.43,Loan A
C00285,2024-12-30,2024-12-31,410,387,South,0.37,Loan A
C00286,2025-01-12,2025-01-13,661,645,West,0.78,Loan A
C00287,2025-04-11,2025-04-13,251,232,West,0.57,Loan A
C00288,2025-01-27,2025-01-27,345,325,North,0.12,Credit Line
C00289,2025-01-14,2025-01-17,84,43,South,0.75,Loan B
C00290,2024-11-11,2024-11-14,182,145,South,0.89,Loan B
C00291,2024-12-06,2024-12-07,395,394,North,0.53,Loan B
C00292,2024-12-01,2024-12-03,376,366,West,0.2,Credit Line
C00293,2024-10-31,2024-11-03,184,140,East,0.22,Loan C
C00294,2024-12-23,2024-12-25,189,148,South,0.63,Loan B
C00295,2024-10-23,2024-10-26,408,367,East,0.56,Loan A
C00296,2025-02-10,2025-02-12,926,902,East,0.66,Loan B
C00297,2025-02-03,2025-02-03,171,146,South,0.93,Loan B
C00298,2024-12-02,2024-12-03,217,179,North,0.65,Loan C
C00299,2025-02-10,2025-02-11,112,78,North,1.0,Loan B
C00300,2024-11-30,2024-12-01,925,922,West,0.27,Credit Line
C00301,2024-10-20,2024-10-21,266,244,West,0.83,Loan A
C00302,2024-11-01,2024-11-01,859,827,East,0.85,Credit Line
C00303,2025-03-05,2025-03-07,800,756,West,0.13,Credit Line
C00304,2025-02-18,2025-02-19,411,381,East,0.92,Credit Line
C00305,2024-10-30,2024-11-02,993,985,North,0.84,Loan A
C00306,2024-12-02,2024-12-04,695,665,North,0.71,Credit Line
C00307,2024-11-01,2024-11-03,953,915,South,0.63,Loan C
C00308,2025-04-12,2025-04-12,954,946,West,0.19,Loan C
C00309,2024-10-25,2024-10-26,306,282,West,0.26,Loan B
C00310,2025-04-03,2025-04-04,105,85,West,0.49,Loan B
C00311,2024-12-22,2024-12-25,344,335,West,0.66,Loan B
C00312,2024-11-01,2024-11-02,506,490,North,0.98,Loan B
C00313,2025-01-26,2025-01-28,978,936,North,0.77,Credit Line
C00314,2024-12-04,2024-12-06,303,286,North,0.89,Loan A
C00315,2024-12-12,2024-12-15,520,497,West,0.7,Loan C
C00316,2025-02-25,2025-03-01,534,497,West,0.77,Loan C
C00317,2025-01-21,2025-01-21,248,237,South,0.92,Loan C
C00318,2024-11-29,2024-12-01,623,613,East,0.58,Loan A
C00319,2025-01-31,2025-02-01,791,785,North,0.26,Loan B
C00320,2024-11-13,2024-11-16,191,178,West,0.11,Loan C
C00321,2025-03-08,2025-03-09,834,799,West,0.51,Credit Line
C00322,2025-04-18,2025-04-19,530,512,West,0.32,Loan C
C00323,2025-04-08,2025-04-10,920,875,West,0.34,Loan C
C00324,2025-02-06,2025-02-08,612,581,West,0.24,Loan C
C00325,2025-02-07,2025-02-07,183,177,North,0.71,Loan A
C00326,2025-01-18,2025-01-19,320,294,East,0.54,Loan A
C00327,2024-12-05,2024-12-09,157,121,South,0.96,Credit Line
C00328,2025-03-20,2025-03-23,673,651,West,0.87,Loan C
C00329,2025-01-18,2025-01-18,113,70,West,0.8,Credit Line
C00330,2025-03-24,2025-03-25,848,814,West,0.24,Loan A
C00331,2025-01-06,2025-01-06,856,809,West,0.76,Credit Line
C00332,2024-11-24,2024-11-26,481,444,South,0.27,Loan B
C00333,2024-11-06,2024-11-07,789,765,West,0.93,Loan C
C00334,2024-11-06,2024-11-08,822,818,North,0.57,Loan C
C00335,2025-02-23,2025-02-27,471,455,West,0.89,Loan A
C00336,2025-01-10,2025-01-10,590,567,West,1.0,Loan C
C00337,2024-12-26,2024-12-28,560,514,North,0.75,Loan C
C00338,2025-01-09,2025-01-11,953,929,West,0.71,Loan A
C00339,2025-01-06,2025-01-07,89,77,South,0.25,Loan C
C00340,2025-01-17,2025-01-17,720,684,South,0.39,Loan B
C00341,2025-04-04,2025-04-07,928,897,West,0.17,Loan A
C00342,2025-03-09,2025-03-12,420,415,North,0.37,Credit Line
C00343,2024-10-29,2024-10-31,463,421,North,0.89,Loan B
C00344,2025-02-26,2025-02-26,786,767,North,0.12,Loan A
C00345,2025-02-22,2025-02-23,721,699,South,0.73,Loan B
C00346,2025-02-21,2025-02-23,369,360,West,0.92,Credit Line
C00347,2024-11-07,2024-11-12,786,778,West,0.7,Loan B
C00348,2024-10-30,2024-11-01,344,310,South,0.56,Credit Line
C00349,2025-01-05,2025-01-08,780,747,East,0.31,Loan C
C00350,2025-03-09,2025-03-11,50,26,South,0.16,Loan C
C00351,2024-12-23,2024-12-25,739,723,West,0.43,Loan C
C00352,2025-03-23,2025-03-28,69,45,East,0.94,Credit Line
C00353,2025-04-04,2025-04-08,347,312,West,0.49,Loan A
C00354,2024-11-09,2024-11-11,616,605,North,0.34,Credit Line
C00355,2024-12-06,2024-12-06,528,528,West,0.27,Loan B
C00356,2024-11-25,2024-11-28,676,651,North,0.87,Loan C
C00357,2024-11-24,2024-11-26,542,521,West,0.4,Loan B
C00358,2025-01-31,2025-02-03,320,283,South,0.75,Loan C
C00359,2025-01-14,2025-01-15,308,265,North,0.29,Credit Line
C00360,2024-11-15,2024-11-16,821,810,South,0.13,Loan B
C00361,2025-01-08,2025-01-13,668,627,East,0.78,Loan C
C00362,2024-11-23,2024-11-26,291,257,South,0.27,Loan B
C00363,2024-12-12,2024-12-16,810,766,East,0.19,Loan A
C00364,2025-01-16,2025-01-18,195,167,East,0.34,Credit Line
C00365,2024-12-06,2024-12-07,957,945,South,0.69,Loan B
C00366,2025-04-06,2025-04-07,702,701,East,0.48,Credit Line
C00367,2025-04-16,2025-04-16,324,303,South,0.95,Credit Line
C00368,2024-11-02,2024-11-02,541,537,East,0.94,Credit Line
C00369,2025-01-13,2025-01-16,228,227,North,0.91,Credit Line
C00370,2025-03-24,2025-03-27,133,131,West,0.59,Loan A
C00371,2025-04-04,2025-04-08,408,380,East,0.74,Loan C
C00372,2025-04-03,2025-04-05,980,964,East,0.75,Loan A
C00373,2025-02-02,2025-02-06,747,735,East,0.2,Loan A
C00374,2024-11-07,2024-11-08,634,612,East,0.84,Credit Line
C00375,2024-10-28,2024-10-30,163,162,South,0.55,Loan B
C00376,2025-02-22,2025-02-22,523,499,North,0.77,Loan C
C00377,2025-01-31,2025-02-05,884,855,East,0.18,Loan B
C00378,2025-03-30,2025-04-01,934,928,South,0.58,Loan A
C00379,2024-10-21,2024-10-23,181,165,South,0.4,Credit Line
C00380,2024-11-06,2024-11-09,291,287,West,0.81,Credit Line
C00381,2025-04-16,2025-04-18,382,345,East,0.34,Loan C
C00382,2025-03-14,2025-03-20,827,803,South,0.78,Loan B
C00383,2025-04-01,2025-04-03,267,266,South,0.7,Loan A
C00384,2024-12-03,2024-12-05,251,241,South,0.46,Loan A
C00385,2024-11-20,2024-11-22,351,304,South,0.87,Loan A
C00386,2025-01-05,2025-01-08,463,461,South,0.92,Loan C
C00387,2025-01-21,2025-01-24,494,482,North,0.63,Loan A
C00388,2025-01-20,2025-01-23,760,717,South,0.11,Loan B
C00389,2024-11-29,2024-12-05,587,568,West,0.37,Loan C
C00390,2025-04-04,2025-04-05,775,735,East,0.97,Loan C
C00391,2025-01-04,2025-01-06,478,455,West,0.75,Loan B
C00392,2025-04-12,2025-04-13,91,90,East,0.37,Loan B
C00393,2024-10-30,2024-11-01,611,585,South,0.29,Loan C
C00394,2024-11-19,2024-11-22,658,633,East,0.73,Loan C
C00395,2024-12-31,2025-01-03,538,504,North,0.16,Loan B
C00396,2024-10-19,2024-10-21,247,241,South,0.22,Loan A
C00397,2025-01-02,2025-01-03,828,805,South,0.66,Loan A
C00398,2024-12-09,2024-12-13,603,559,East,0.2,Loan C
C00399,2025-04-16,2025-04-17,712,668,East,0.62,Loan C
C00400,2025-03-20,2025-03-22,874,860,South,0.44,Loan B
C00401,2025-03-20,2025-03-22,606,592,South,0.8,Loan A
C00402,2025-01-15,2025-01-17,294,251,North,0.51,Loan C
C00403,2024-12-13,2024-12-13,874,851,South,0.87,Loan A
C00404,2025-01-09,2025-01-13,858,816,West,0.84,Loan C
C00405,2025-03-03,2025-03-04,812,812,West,0.92,Loan B
C00406,2025-03-09,2025-03-09,332,316,North,0.8,Loan A
C00407,2025-03-20,2025-03-22,266,218,North,0.65,Credit Line
C00408,2025-02-03,2025-02-05,409,387,East,0.52,Credit Line
C00409,2025-02-24,2025-02-27,707,672,East,0.66,Loan C
C00410,2025-03-07,2025-03-09,868,825,South,0.6,Loan B
C00411,2025-01-21,2025-01-21,464,416,West,0.49,Loan B
C00412,2024-11-18,2024-11-20,374,356,West,0.24,Loan B
C00413,2024-11-24,2024-11-26,369,349,East,0.88,Loan C
C00414,2024-12-15,2024-12-18,465,436,North,0.86,Credit Line
C00415,2024-11-30,2024-12-02,264,226,North,0.84,Loan C
C00416,2024-10-30,2024-11-01,975,961,North,0.72,Loan C
C00417,2025-02-08,2025-02-08,288,258,North,0.55,Loan B
C00418,2025-03-10,2025-03-13,939,931,South,0.43,Loan B
C00419,2025-02-01,2025-02-04,261,218,West,0.69,Loan C
